Time,yPosition,yVelocity,yAcceleration
10866.292,-763.64056,-0.12645914,-1.5351666E-11
10899.0205,-767.77936,-0.12645914,-1.5397952E-11
10931.723,-771.9148,-0.12645914,-1.544433E-11
10964.384,-776.04504,-0.12645914,-1.549067E-11
10997.089,-780.18097,-0.12645914,-1.5536952E-11
11029.812,-784.31903,-0.12645914,-1.5583295E-11
11062.499,-788.4527,-0.12645914,-1.5629664E-11
11095.184,-792.586,-0.12645914,-1.5675985E-11
11127.868,-796.7193,-0.12645914,-1.57223E-11
11160.551,-800.8523,-0.12645914,-1.5768616E-11
11193.205,-804.9818,-0.12645914,-1.5814927E-11
11225.856,-809.11084,-0.12645914,-1.58612E-11
11258.536,-813.24347,-0.12645914,-1.5907468E-11
11291.17,-817.37024,-0.12645914,-1.5953776E-11
11323.78,-821.49414,-0.12645914,-1.6000019E-11
11356.353,-825.61316,-0.12645914,-1.604623E-11
11388.89,-829.72784,-0.12645914,-1.6092386E-11
11421.371,-833.83545,-0.12645914,-1.6138492E-11
11453.864,-837.94446,-0.12645914,-1.6184519E-11
11486.338,-842.0511,-0.12645914,-1.6230564E-11
11518.741,-846.14874,-0.12645914,-1.627658E-11
11551.13,-850.2445,-0.12645914,-1.6322497E-11
11583.535,-854.34247,-0.12645914,-1.6368393E-11
11615.953,-858.442,-0.12645914,-1.6414313E-11
11648.392,-862.5442,-0.12645914,-1.646025E-11
11680.876,-866.65216,-0.12645914,-1.6506217E-11
11713.399,-870.7651,-0.12645914,-1.6552247E-11
11745.838,-874.86725,-0.12645914,-1.6598336E-11
11778.302,-878.97266,-0.12645914,-1.6644302E-11
11810.806,-883.0831,-0.12645914,-1.6690304E-11
11843.367,-887.2008,-0.12645914,-1.6736364E-11
11875.981,-891.32513,-0.12645914,-1.6782504E-11
11908.527,-895.4408,-0.12645914,-1.682872E-11
11941.039,-899.55225,-0.12645914,-1.6874838E-11
11973.562,-903.66504,-0.12645914,-1.6920909E-11
12006.103,-907.78015,-0.12645914,-1.6966996E-11
12038.634,-911.89404,-0.12645914,-1.7013106E-11
12071.194,-916.0116,-0.12645914,-1.7059205E-11
12103.711,-920.1236,-0.12645914,-1.7105345E-11
12136.235,-924.23663,-0.12645914,-1.7151421E-11
12168.77,-928.35095,-0.12645914,-1.7197509E-11
12201.342,-932.47003,-0.12645914,-1.7243613E-11
12233.938,-936.59216,-0.12645914,-1.7289769E-11
12266.456,-940.7043,-0.12645914,-1.7335959E-11
12299.013,-944.82135,-0.12645914,-1.7382037E-11
12331.58,-948.9398,-0.12645914,-1.7428172E-11
12364.137,-953.0569,-0.12645914,-1.747432E-11
12396.738,-957.1797,-0.12645914,-1.7520456E-11
12429.403,-961.3105,-0.12645914,-1.7566653E-11
12462.068,-965.4412,-0.12645914,-1.761294E-11
12494.789,-969.57904,-0.12645914,-1.7659228E-11
12527.508,-973.7166,-0.12645914,-1.7705594E-11
12560.184,-977.8488,-0.12645914,-1.7751958E-11
12592.8955,-981.98553,-0.12645914,-1.7798261E-11
12625.58,-986.1188,-0.12645914,-1.7844615E-11
12658.307,-990.2573,-0.12645914,-1.789093E-11
12691.024,-994.3947,-0.12645914,-1.7937304E-11
12724.58,-998.6381,-0.12645914,-1.7983667E-11
12757.505,-1002.8017,-0.12645914,-1.8031217E-11
12790.44,-1006.9666,-0.12645914,-1.8077873E-11
12823.42,-1011.1372,-0.12645914,-1.8124544E-11
12856.373,-1015.30444,-0.12645914,-1.8171277E-11
12889.352,-1019.4749,-0.12645914,-1.8217972E-11
12922.214,-1023.6307,-0.12645914,-1.8264704E-11
12955.078,-1027.7867,-0.12645914,-1.8311271E-11
12987.9,-1031.9374,-0.12645914,-1.8357841E-11
13020.711,-1036.0865,-0.12645914,-1.8404351E-11
13053.518,-1040.2352,-0.12645914,-1.8450845E-11
13086.347,-1044.3867,-0.12645914,-1.8497334E-11
13119.092,-1048.5276,-0.12645914,-1.8543854E-11
13151.743,-1052.6566,-0.12645914,-1.8590254E-11
13184.377,-1056.7834,-0.12645914,-1.8636523E-11
13216.973,-1060.9054,-0.12645914,-1.8682767E-11
13249.585,-1065.0294,-0.12645914,-1.8728956E-11
13282.172,-1069.1503,-0.12645914,-1.8775169E-11
13314.665,-1073.2594,-0.12645914,-1.8821346E-11
13347.207,-1077.3746,-0.12645914,-1.886739E-11
13379.704,-1081.4841,-0.12645914,-1.8913503E-11
13412.13,-1085.5846,-0.12645914,-1.8959553E-11
13444.584,-1089.6886,-0.12645914,-1.9005502E-11
13477.038,-1093.7927,-0.12645914,-1.905149E-11
13509.447,-1097.8911,-0.12645914,-1.9097479E-11
13541.825,-1101.9856,-0.12645914,-1.9143404E-11
13574.17,-1106.0759,-0.12645914,-1.9189284E-11
13606.603,-1110.1772,-0.12645914,-1.9235119E-11
13639.096,-1114.2863,-0.12645914,-1.9281077E-11
13671.661,-1118.4044,-0.12645914,-1.932712E-11
13704.274,-1122.5286,-0.12645914,-1.9373267E-11
13736.846,-1126.6476,-0.12645914,-1.9419482E-11
