Time,xPosition,xVelocity,xAcceleration
13184.377,-432.88004,-4.7964484E-8,-3.6379788E-12
13216.973,-432.88004,-4.8083066E-8,-3.6379788E-12
13249.585,-432.88004,-4.820171E-8,-3.6379788E-12
13282.172,-432.88004,-4.832026E-8,-3.6379788E-12
13314.665,-432.88004,-4.843847E-8,-3.6379788E-12
13347.207,-432.88004,-4.8556856E-8,-3.6379788E-12
13379.704,-432.88004,-4.867508E-8,-3.6379788E-12
13412.13,-432.88004,-4.8793044E-8,-3.6379788E-12
13444.584,-432.88004,-4.891111E-8,-3.6379788E-12
13477.038,-432.88004,-4.902918E-8,-3.6379788E-12
13509.447,-432.88004,-4.9147083E-8,-3.6379788E-12
13541.825,-432.88004,-4.9264873E-8,-3.6379788E-12
13574.17,-432.88004,-4.9382542E-8,-3.6379788E-12
13606.603,-432.88004,-4.950053E-8,-3.6379788E-12
13639.096,-432.88004,-4.961874E-8,-3.6379788E-12
13671.661,-432.88004,-4.9737213E-8,-3.6379788E-12
13704.274,-432.88004,-4.985586E-8,-3.6379788E-12
13736.846,-432.88004,-4.9974354E-8,-3.6379788E-12
13769.422,-432.88004,-5.0092865E-8,-3.6379788E-12
13801.918,-432.88004,-5.0211085E-8,-3.6379788E-12
13834.419,-432.88004,-5.0329323E-8,-3.6379788E-12
13866.9375,-432.88004,-5.0447625E-8,-3.6379788E-12
13899.453,-432.88004,-5.0565916E-8,-3.6379788E-12
13931.925,-432.88004,-5.0684047E-8,-3.6379788E-12
13964.428,-432.88004,-5.0802292E-8,-3.6379788E-12
13997.036,-432.88004,-5.092092E-8,-3.6379788E-12
14029.654,-432.88004,-5.1039585E-8,-3.6379788E-12
14062.292,-432.88004,-5.115832E-8,-3.6379788E-12
14094.984,-432.88004,-5.1277254E-8,-3.6379788E-12
14127.74,-432.88004,-5.139642E-8,-3.6379788E-12
14160.492,-432.88004,-5.151557E-8,-3.6379788E-12
14193.261,-432.88004,-5.1634782E-8,-3.6379788E-12
14225.945,-432.88004,-5.1753688E-8,-3.6379788E-12
14258.597,-432.88004,-5.1872473E-8,-3.6379788E-12
14291.23,-432.88004,-5.1991194E-8,-3.6379788E-12
14323.827,-432.88004,-5.210978E-8,-3.6379788E-12
14356.385,-432.88004,-5.2228224E-8,-3.6379788E-12
14388.951,-432.88004,-5.23467E-8,-3.6379788E-12
14421.453,-432.88004,-5.246494E-8,-3.6379788E-12
14453.937,-432.88004,-5.2583115E-8,-3.6379788E-12
14486.431,-432.88004,-5.2701328E-8,-3.6379788E-12
14518.877,-432.88004,-5.2819367E-8,-3.6379788E-12
14551.342,-432.88004,-5.2937473E-8,-3.6379788E-12
14583.832,-432.88004,-5.3055672E-8,-3.6379788E-12
14616.293,-432.88004,-5.3173764E-8,-3.6379788E-12
14648.783,-432.88004,-5.3291963E-8,-3.6379788E-12
14681.3125,-432.88004,-5.3410304E-8,-3.6379788E-12
14713.804,-432.88004,-5.3528506E-8,-3.6379788E-12
14746.306,-432.88004,-5.3646747E-8,-3.6379788E-12
14778.756,-432.88004,-5.37648E-8,-3.6379788E-12
14811.236,-432.88004,-5.3882964E-8,-3.6379788E-12
14843.751,-432.88004,-5.400125E-8,-3.6379788E-12
14876.277,-432.88004,-5.411958E-8,-3.6379788E-12
14908.812,-432.88004,-5.423794E-8,-3.6379788E-12
14941.345,-432.88004,-5.4356295E-8,-3.6379788E-12
14973.84,-432.88004,-5.4474512E-8,-3.6379788E-12
15006.359,-432.88004,-5.4592817E-8,-3.6379788E-12
15038.8955,-432.88004,-5.4711183E-8,-3.6379788E-12
15071.444,-432.88004,-5.4829595E-8,-3.6379788E-12
15103.928,-432.88004,-5.494777E-8,-3.6379788E-12
15136.463,-432.88004,-5.506613E-8,-3.6379788E-12
15169.015,-432.88004,-5.5184554E-8,-3.6379788E-12
15201.574,-432.88004,-5.5303005E-8,-3.6379788E-12
15234.156,-432.88004,-5.5421538E-8,-3.6379788E-12
15266.719,-432.88004,-5.554E-8,-3.6379788E-12
15299.249,-432.88004,-5.5658344E-8,-3.6379788E-12
15331.792,-432.88004,-5.5776734E-8,-3.6379788E-12
15364.425,-432.88004,-5.5895452E-8,-3.6379788E-12
15397.026,-432.88004,-5.6014056E-8,-3.6379788E-12
15429.643,-432.88004,-5.6132713E-8,-3.6379788E-12
15462.229,-432.88004,-5.625126E-8,-3.6379788E-12
15494.784,-432.88004,-5.6369696E-8,-3.6379788E-12
15527.325,-432.88004,-5.648808E-8,-3.6379788E-12
15559.768,-432.88004,-5.6606105E-8,-3.6379788E-12
15592.191,-432.88004,-5.6724062E-8,-3.6379788E-12
15624.644,-432.88004,-5.6842122E-8,-3.6379788E-12
15657.074,-432.88004,-5.6960104E-8,-3.6379788E-12
15689.496,-432.88004,-5.7078054E-8,-3.6379788E-12
15721.851,-432.88004,-5.719576E-8,-3.6379788E-12
15754.222,-432.88004,-5.7313525E-8,-3.6379788E-12
